Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
8,"R Tegelberg, J Kahanpää, J Karppinen…","Mass digitization of individual pinned insects using conveyor-driven imaging",2017,"2017 IEEE 13th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8109190/","https://scholar.google.com/scholar?cites=13190935256530585170&as_sdt=2005&sciodt=2007&hl=en",1,"2023-12-28 21:36:16","","","","",,,,,8,1.33,2,4,6,"… efficiency of digitization methods is especially welcomed considering insect collections, which are large in numbers. In practice, insect digitization using automated conveyor belt system …","https://ieeexplore.ieee.org/iel7/8108702/8109104/08109190.pdf","https://scholar.google.com/scholar?q=related:UoauLLqdD7cJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
41,"PW Sweeney, B Starly, PJ Morris, Y Xu, A Jones…","Large–scale digitization of herbarium specimens: Development and usage of an automated, high–throughput conveyor system",2018,"Taxon","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.12705/671.10","https://scholar.google.com/scholar?cites=8217065868501685983&as_sdt=2005&sciodt=2007&hl=en",2,"2023-12-28 21:36:16","","10.12705/671.10","","",,,,,41,8.20,7,6,5,"… , high-throughput digitization system for vascular plant herbarium specimens mounted to sheets. A central feature of our system is an automated conveyor belt apparatus, which allows …","https://onlinelibrary.wiley.com/doi/pdf/10.12705/671.10","https://scholar.google.com/scholar?q=related:35YHHN_hCHIJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
24,"L Jurdziak, R Blazej, M Bajda","Conveyor Belt 4.0",2019,"Intelligent Systems in Production …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-97490-3_61","https://scholar.google.com/scholar?cites=17322413110796496210&as_sdt=2005&sciodt=2007&hl=en",3,"2023-12-28 21:36:16","","10.1007/978-3-319-97490-3_61","","",,,,,24,6.00,8,3,4,"… Industry 3.0 – Digitization – increasingly efficient computers and data processing systems … Thus, the efficiency, precision and versatility of machines was improved and the digitization …","","https://scholar.google.com/scholar?q=related:Ui2YOfKSZfAJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
2,"K Bäppler, A Howard, B Campbell…","Digitization in mechanized tunnelling technology",2018,"North American …","books.google.com","https://books.google.com/books?hl=en&lr=&id=LMJqDwAAQBAJ&oi=fnd&pg=PA157&dq=digitization+of+conveyor+belts&ots=iWLjtzK7hA&sig=rIhhEu0DWvdVibbMzXcVP8so9UA","https://scholar.google.com/scholar?cites=6882618449286950566&as_sdt=2005&sciodt=2007&hl=en",4,"2023-12-28 21:36:16","","","","",,,,,2,0.40,1,4,5,"… conveyor belt. This was designed from the screw dis‑charge gate to the transverse conveyor belt … ‑vated material that was discharged from the screw conveyor. The area from the transfer …","","https://scholar.google.com/scholar?q=related:pm5MkgP5g18J:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
0,"N Kulkarni, P Kulkarni","System for rapid digitization of an article",2023,"US Patent 11,562,537","Google Patents","https://patents.google.com/patent/US11562537B2/en","",5,"2023-12-28 21:36:16","","","","",,,,,0,0.00,0,2,1,"… The system includes a rapid digitization station. The rapid digitization station comprises a transparent conveyor belt, a dc motor, at least two pairs of dual cameras, a master …","https://patentimages.storage.googleapis.com/d7/d4/6a/fd4cd0e8130b66/US11562537.pdf","https://scholar.google.com/scholar?q=related:gpnYHdp9q_wJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
8,"P Janicki","Conveyor belt, conveyor belt assembly including an imaging system, and methods of using the same",2017,"US Patent 9,599,459","Google Patents","https://patents.google.com/patent/US9599459B1/en","https://scholar.google.com/scholar?cites=5273317991525505489&as_sdt=2005&sciodt=2007&hl=en",6,"2023-12-28 21:36:16","","","","",,,,,8,1.33,8,1,6,"… an improved conveyor belt assembly for facilitating improved automated handling of a plurality of packages. The improved conveyor belt assembly comprises a conveyor belt comprising…","https://patentimages.storage.googleapis.com/fa/49/72/93cc5dd2c4ec8a/US9599459.pdf","https://scholar.google.com/scholar?q=related:0dmNKMaWLkkJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
15,"K Židek, V Modrák, J Pitel…","The digitization of quality control operations with cloud platform computing technologies",2020,"Industry 4.0 for SMEs …","library.oapen.org","https://library.oapen.org/bitstream/handle/20.500.12657/22857/1007304.pdf#page=329","https://scholar.google.com/scholar?cites=17629972982243062382&as_sdt=2005&sciodt=2007&hl=en",7,"2023-12-28 21:36:16","PDF","","","",,,,,15,5.00,4,4,3,"… The experimental inspection and identification system consists of a conveyor belt with PLC … contactless technologies for fast data mining and digitization in line with the Industry 4.0 …","https://library.oapen.org/bitstream/handle/20.500.12657/22857/1007304.pdf#page=329","https://scholar.google.com/scholar?q=related:bvJUDgU_qvQJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
23,"H Winkler, L Zinsmeister","Trends in digitalization of intralogistics and the critical success factors of its implementation",2019,"Brazilian Journal of Operations …","bjopm.emnuvens.com.br","https://bjopm.emnuvens.com.br/bjopm/article/view/855","https://scholar.google.com/scholar?cites=16053117686601471430&as_sdt=2005&sciodt=2007&hl=en",8,"2023-12-28 21:36:16","","","","",,,,,23,5.75,12,2,4,"… A highspeed conveyor belt can move goods with a speed ranging from eight meters per second up to twenty meters per second. Its capacity can be enhanced with an increase in …","https://bjopm.emnuvens.com.br/bjopm/article/download/855/877","https://scholar.google.com/scholar?q=related:xtVrn3shyN4J:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
2,"P Janicki","Conveyor belt, conveyor belt assembly including an imaging system, and methods of using the same",2017,"US Patent 9,739,596","Google Patents","https://patents.google.com/patent/US9739596B1/en","https://scholar.google.com/scholar?cites=5791110818877059251&as_sdt=2005&sciodt=2007&hl=en",9,"2023-12-28 21:36:16","","","","",,,,,2,0.33,2,1,6,"… an improved conveyor belt assembly for facilitating improved automated handling of a plurality of packages. The improved conveyor belt assembly comprises a conveyor belt comprising…","https://patentimages.storage.googleapis.com/93/43/8b/d4f7b5eb0c5490/US9739596.pdf","https://scholar.google.com/scholar?q=related:s7AWbpsoXlAJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
0,"IS Nevliudov, VV Yevsieiev, SS Maksymova…","Conveyor Belt Object Identification: Mathematical, Algorithmic, and Software Support",2023,"","openarchive.nure.ua","https://openarchive.nure.ua/items/fabb7c20-5d34-45ae-bd9b-de083253f6e0","",10,"2023-12-28 21:36:16","","","","",,,,,0,0.00,0,4,1,"… Conveyors are used in almost every enterprise and are divided into [3]: roller - the surface of this type of conveyor belt … required products movement speed that will move along the belt; …","https://openarchive.nure.ua/bitstreams/dce1f5e7-5813-43a9-986e-ffef5c498c07/download",""
0,"M Sabih, MS Farid, M Ejaz, M Husam, MH Khan…","Raw Material Flow Rate Measurement on Belt Conveyor System Using Visual Data",2023,"Applied System …","mdpi.com","https://www.mdpi.com/2571-5577/6/5/88","",11,"2023-12-28 21:36:16","HTML","","","",,,,,0,0.00,0,6,1,"… is the conveyor belt on which the … the belt region for automatic conveyor belt maintenance using inspection robots. In our scenario, the camera’s position with respect to the conveyor belt …","https://www.mdpi.com/2571-5577/6/5/88",""
1,"GR Fayaz, SSZJ Raatikainen","Smart Quality Control in Cement Industry: Real-time and Continuous XRF Analysis of Materials on Conveyor Belt",2018,"Fourth National Conference on Cement Industry and …","","","https://scholar.google.com/scholar?cites=1614886631297127747&as_sdt=2005&sciodt=2007&hl=en",12,"2023-12-28 21:36:16","CITATION","","","",,,,,1,0.20,1,2,5,"","","https://scholar.google.com/scholar?q=related:QxX-ytU6aRYJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
113,"C Harteis","Machines, change and work: An educational view on the digitalization of work",2018,"The impact of digitalization in the workplace: An …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-63257-5_1","https://scholar.google.com/scholar?cites=14396852640532541327&as_sdt=2005&sciodt=2007&hl=en",13,"2023-12-28 21:36:16","","10.1007/978-3-319-63257-5_1","","",,,,,113,22.60,113,1,5,"… The second followed in 1870, when the implementation of the principle of division of labour was combined with the use of electric power for driving a conveyor belt in the Cincinnati …","","https://scholar.google.com/scholar?q=related:jy-W4jLly8cJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
1,"K Al-Kahwati, E Saari, W Birk…","Condition Monitoring of Rollers in Belt Conveyor Systems★",2021,"2021 5th international …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9595269/","https://scholar.google.com/scholar?cites=17306107746791068404&as_sdt=2005&sciodt=2007&hl=en",14,"2023-12-28 21:36:16","","","","",,,,,1,0.50,0,4,2,"… Belt conveyors are widely used to continuously transport bulk material over distances ranging from some meters to tens of kilometers. Conveyor belt … by the aid of digitalization, the mon…","https://ieeexplore.ieee.org/iel7/9594897/9594923/09595269.pdf","https://scholar.google.com/scholar?q=related:9BIe1E2lK_AJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
0,"P Banerjee, D Chakravarty, B Samanta","Design of a laboratory scale Automatic Optical Inspection prototype system for scanning of conveyor belt surfaces—A case study",2023,"Measurement","Elsevier","https://www.sciencedirect.com/science/article/pii/S0263224123009065","",15,"2023-12-28 21:36:16","","","","",,,,,0,0.00,0,3,1,"… The AOI system discussed in this study is part of a larger system built for the inspection of mining conveyor belt segments offsite, ie, in laboratory space, where they can be imaged in …","",""
0,"N Arellano Martinez","Visual Sort Marker Digitization in Sort Center Operations",2023,"","dspace.mit.edu","https://dspace.mit.edu/handle/1721.1/152487","",16,"2023-12-28 21:36:16","","","","",,,,,0,0.00,0,1,1,"… in order to protect competitive information, while still conveying the findings of this project. … Sortable warehouses can more easily be automated with conveyor belts, while nonsortable …","https://dspace.mit.edu/bitstream/handle/1721.1/152487/Arellano-nayeliam-mba-mgt-2023-thesis%5B61%5D.pdf?sequence=1&isAllowed=y",""
6,"CC Davis, JA Kennedy, CJ Grassa","Back to the future: A refined single‐user photostation for massively scaling herbarium digitization",2021,"Taxon","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/tax.12459","https://scholar.google.com/scholar?cites=3611529698004979935&as_sdt=2005&sciodt=2007&hl=en",17,"2023-12-28 21:36:16","","10.1002/tax.12459","","",,,,,6,3.00,2,3,2,"… the positive efficiencies of the conveyor belt system were the result of … conveyor belt system. Taking this entire workflow into consideration, we noted that the presence of a conveyor belt …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/tax.12459","https://scholar.google.com/scholar?q=related:31BcKSC7HjIJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
40,"P Santos, M Ritz, C Fuhrmann…","3D mass digitization: a milestone for archeological documentation",2017,"Virtual Archaeology …","polipapers.upv.es","http://polipapers.upv.es/index.php/var/article/view/6321","https://scholar.google.com/scholar?cites=13176533374069903952&as_sdt=2005&sciodt=2007&hl=en",18,"2023-12-28 21:36:16","","","","",,,,,40,6.67,10,4,6,"… to digitize books, photos and other works of art and digitization has … However, so far automated digitization has been developed and … carrier trays moved by conveyor belts (see Fig. 2). …","https://polipapers.upv.es/index.php/var/article/download/6321/7701","https://scholar.google.com/scholar?q=related:UBKEnEpz3LYJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
