"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Satellite Communications in the New Space Era: A Survey and Future Challenges","O. Kodheli; E. Lagunas; N. Maturo; S. K. Sharma; B. Shankar; J. F. M. Montoya; J. C. M. Duncan; D. Spano; S. Chatzinotas; S. Kisseleff; J. Querol; L. Lei; T. X. Vu; G. Goussetis","SnT–Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg City, Luxembourg; SnT–Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg City, Luxembourg; SnT–Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg City, Luxembourg; SnT–Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg City, Luxembourg; SnT–Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg City, Luxembourg; SnT–Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg City, Luxembourg; SnT–Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg City, Luxembourg; SnT–Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg City, Luxembourg; SnT–Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg City, Luxembourg; SnT–Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg City, Luxembourg; SnT–Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg City, Luxembourg; SnT–Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg City, Luxembourg; SnT–Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg City, Luxembourg; School of Engineering and Physical Sciences, Institute of Sensors, Signals and Systems, Edinburgh, U.K.","IEEE Communications Surveys & Tutorials","23 Feb 2021","2021","23","1","70","109","Satellite communications (SatComs) have recently entered a period of renewed interest motivated by technological advances and nurtured through private investment and ventures. The present survey aims at capturing the state of the art in SatComs, while highlighting the most promising open research topics. Firstly, the main innovation drivers are motivated, such as new constellation types, on-board processing capabilities, non-terrestrial networks and space-based data collection/processing. Secondly, the most promising applications are described, i.e., 5G integration, space communications, Earth observation, aeronautical and maritime tracking and communication. Subsequently, an in-depth literature review is provided across five axes: i) system aspects, ii) air interface, iii) medium access, iv) networking, v) testbeds & prototyping. Finally, a number of future challenges and the respective open research topics are described.","1553-877X","","10.1109/COMST.2020.3028247","Luxembourg National Research Fund (FNR) under the following Projects: ASWELL, FLEXSAT, DISBUS, ROSETTA, PROCAST, SIERRA, COHESAT, and SATIOT; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9210567","Satellite communications;space-based data collection;5G integration;non-terrestrial networks;new constellations;on-board processing;air interface;MAC protocols;networking;testbeds","Satellites;Satellite broadcasting;5G mobile communication;Low earth orbit satellites;Planetary orbits","","410","","344","CCBY","1 Oct 2020","","","IEEE","IEEE Journals"
"Terahertz Imaging and Sensing Applications With Silicon-Based Technologies","P. Hillger; J. Grzyb; R. Jain; U. R. Pfeiffer","Institute for High-Frequency and Communication Technology, University of Wuppertal, Wuppertal, Germany; Institute for High-Frequency and Communication Technology, University of Wuppertal, Wuppertal, Germany; Institute for High-Frequency and Communication Technology, University of Wuppertal, Wuppertal, Germany; Institute for High-Frequency and Communication Technology, University of Wuppertal, Wuppertal, Germany","IEEE Transactions on Terahertz Science and Technology","9 Jan 2019","2019","9","1","1","19","Traditional terahertz (THz) equipment faces major obstacles in providing the system cost and compactness necessary for widespread deployment of THz applications. Because of this, the field of THz integrated circuit (THz IC) design in CMOS and SiGe HBT technologies has surged in the last decade. An interplay of advances in silicon process technology, design technique, and microelectronic packaging promises to narrow the gap between the requirements and the reality of system cost and performance of THz components. Furthermore, the scalability, reconfigurability, and signal processing features of silicon technology have initiated research in complex THz ICs that expand the functionality of THz systems; this has enabled new applications, methods, and algorithms. This paper reviews the progress in THz IC research and investigates several realizations of THz imaging and sensing applications with silicon-based components regarding their motivation, system performance, and challenges. THz computed tomography, broadband multicolor imaging, high-resolution FMCW radar imaging, subwavelength resolution near-field imaging, and compressed sensing are presented.","2156-3446","","10.1109/TTHZ.2018.2884852","German Research Foundation within the frame of the Reinhart Koselleck Project; ESSENCE(grant numbers:SPP 1857); CoSIP(grant numbers:SPP 1798); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8576551","CMOS;computed tomography (CT);compressed sensing;FMCW radar;multicolor imaging;near-field imaging;silicon technology;SiGe BiCMOS;terahertz (THz);THz imaging","Silicon;Imaging;Integrated circuits;Silicon germanium;Radar imaging;Heterojunction bipolar transistors;Detectors","","225","","138","OAPA","14 Dec 2018","","","IEEE","IEEE Journals"
"The digital twin of an industrial production line within the industry 4.0 concept","J. Vachálek; L. Bartalský; O. Rovný; D. Šišmišová; M. Morháč; M. Lokšík","Measurement and Applied Informatics, Slovak University of Technology in Bratislava, Bratislava, Slovak Republic; Institute of Automation, Measurement and Applied Informatics, Faculty of Mechanical Engineering, Slovak University of Technology in Bratislava Nám. slobody 17, 812 31 Bratislava, Slovak Republic; Institute of Automation, Measurement and Applied Informatics, Faculty of Mechanical Engineering, Slovak University of Technology in Bratislava Nám. slobody 17, 812 31 Bratislava, Slovak Republic; Measurement and Applied Informatics, Slovak University of Technology in Bratislava, Bratislava, Slovak Republic; SOVA Digital, Bratislava, Slovak Republic; SOVA Digital, a.s., Bojnická 3, 831 04, Bratislava, Slovak Republic","2017 21st International Conference on Process Control (PC)","17 Jul 2017","2017","","","258","262","This article presents the digital twin concept, which is an augmented manufacturing project created in close collaboration by SOVA Digital and the Institute of Automation, Measurement and Applied Informatics (ÚAMAI), of the Faculty of Mechanical Engineering, Slovak University of Technology in Bratislava with the support of SIEMENS. The project is a technological concept focusing on the continuous optimization of production processes, proactive maintenance, and continuous processing of process data. This project is the basis for further work to promote the concept of Industry 4.0. for the needs of the industry subjects within Slovakia. Its basic goal is to support the existing production structures within the automotive industry and the most efficient use of resources by augmented production and planning strategies, such as the digital twin presented here.","","978-1-5386-4011-1","10.1109/PC.2017.7976223","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7976223","digital twin;optimization of production;genetic algorithm;data collection","Production;Industries;Optimization;Manipulators;Genetic algorithms;Linear programming;Manufacturing","","167","","8","IEEE","17 Jul 2017","","","IEEE","IEEE Conferences"
"Terminal Sliding Mode Control – An Overview","X. Yu; Y. Feng; Z. Man","School of Engineering, RMIT University, Melbourne, VIC, Australia; Department of Electrical Engineering, Harbin Institute of Technology, Harbin, China; School of Software and Electrical Engineering, Swinburne University of Technology, Melbourne, VIC, Australia","IEEE Open Journal of the Industrial Electronics Society","15 Jan 2021","2021","2","","36","52","Sliding mode control (SMC) has been a very popular control technology due to its simplicity and robustness against uncertainties and disturbances since its inception more than 60 years ago. Its very foundation of stability and stabilization is built on the principle of the Lyapunov theory which ascertains asymptotic stability. In the 1990s, a novel class of SMC, called the terminal sliding mode control (TSMC), was proposed which has been studied and applied extensively, giving rise to a robust control with tunable finite-time convergence delivering fast response, high precision, and strong robustness. In recent years, interest in this particular control technology has been increasing. This paper provides an overview of the state of the art of the TSMC theory and its applications, and postulates key technical issues and future challenges.","2644-1284","","10.1109/OJIES.2020.3040412","Australian Research Council(grant numbers:DP200101197 and DP200101199); National Natural Science Foundation of China(grant numbers:62073095 and 61673132); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9271817","Finite-time convergence;robustness;sliding mode control;stability;terminal sliding mode;variable structure systems","Convergence;Control systems;Sliding mode control;Uncertainty;Asymptotic stability;Switches;Robustness","","103","","172","CCBY","25 Nov 2020","","","IEEE","IEEE Journals"
"Digital Twins: A Survey on Enabling Technologies, Challenges, Trends and Future Prospects","S. Mihai; M. Yaqoob; D. V. Hung; W. Davis; P. Towakel; M. Raza; M. Karamanoglu; B. Barn; D. Shetve; R. V. Prasad; H. Venkataraman; R. Trestian; H. X. Nguyen","London Digital Twin Research Centre, Middlesex University, London, U.K; London Digital Twin Research Centre, Middlesex University, London, U.K; Department of Civil Engineering, National University of Civil Engineering, Hanoi, Vietnam; London Digital Twin Research Centre, Middlesex University, London, U.K; London Digital Twin Research Centre, Middlesex University, London, U.K; Department of Computer Science, Edge Hill University, Ormskirk, U.K; London Digital Twin Research Centre, Middlesex University, London, U.K; London Digital Twin Research Centre, Middlesex University, London, U.K; Indian Institute of Information Technology, Sri City, India; Indian Institute of Information Technology, Sri City, India; Indian Institute of Information Technology, Sri City, India; London Digital Twin Research Centre, Middlesex University, London, U.K; London Digital Twin Research Centre, Middlesex University, London, U.K","IEEE Communications Surveys & Tutorials","21 Nov 2022","2022","24","4","2255","2291","Digital Twin (DT) is an emerging technology surrounded by many promises, and potentials to reshape the future of industries and society overall. A DT is a system-of-systems which goes far beyond the traditional computer-based simulations and analysis. It is a replication of all the elements, processes, dynamics, and firmware of a physical system into a digital counterpart. The two systems (physical and digital) exist side by side, sharing all the inputs and operations using real-time data communications and information transfer. With the incorporation of Internet of Things (IoT), Artificial Intelligence (AI), 3D models, next generation mobile communications (5G/6G), Augmented Reality (AR), Virtual Reality (VR), distributed computing, Transfer Learning (TL), and electronic sensors, the digital/virtual counterpart of the real-world system is able to provide seamless monitoring, analysis, evaluation and predictions. The DT offers a platform for the testing and analysing of complex systems, which would be impossible in traditional simulations and modular evaluations. However, the development of this technology faces many challenges including the complexities in effective communication and data accumulation, data unavailability to train Machine Learning (ML) models, lack of processing power to support high fidelity twins, the high need for interdisciplinary collaboration, and the absence of standardized development methodologies and validation measures. Being in the early stages of development, DTs lack sufficient documentation. In this context, this survey paper aims to cover the important aspects in realization of the technology. The key enabling technologies, challenges and prospects of DTs are highlighted. The paper provides a deep insight into the technology, lists design goals and objectives, highlights design challenges and limitations across industries, discusses research and commercial developments, provides its applications and use cases, offers case studies in industry, infrastructure and healthcare, lists main service providers and stakeholders, and covers developments to date, as well as viable research dimensions for future developments in DTs.","1553-877X","","10.1109/COMST.2022.3208773","U.K.–India Education and Research Initiative (UKIERI)(grant numbers:DST UKIERI-2018-19-011); British Council’s Institutional Links through the Newton Programme Vietnam Partnership(grant numbers:429715093); British Council Indonesia’s Going Global Partnerships Programme (2022–2024); British Council was provided by the U.K. Department of Business, Energy and Industrial Strategy; VinGroup Innovation Fund (VinIF)(grant numbers:VINIF.2021.DA00192); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9899718","Digital twin;digital transformation;smart manufacturing;industry 4.0;structural health monitoring;5G","Digital twins;Tutorials;Internet;Market research;Solid modeling;Monitoring;Data visualization","","103","","208","IEEE","22 Sep 2022","","","IEEE","IEEE Journals"
"An Ontology-Based Resource Reconfiguration Method for Manufacturing Cyber-Physical Systems","J. Wan; B. Yin; D. Li; A. Celesti; F. Tao; Q. Hua","School of Mechanical and Automotive Engineering, South China University of Technology, Guangzhou, China; School of Electrical Engineering and Automation, Jiangxi University of Science and Technology, Ganzhou, China; School of Mechanical and Automotive Engineering, South China University of Technology, Guangzhou, China; Department of Engineering, University of Messina, Messina, Italy; School of Automation Science and Electrical Engineering, Beihang University, Beijing, China; School of Mechanical and Electrical Engineering, Qingdao University, Qingdao, China","IEEE/ASME Transactions on Mechatronics","13 Dec 2018","2018","23","6","2537","2546","The introduction of Industry 4.0 and rapid development of manufacturing cyber-physical systems, as well as the increasing demand for multivariety, small batch, and personalized customization, pose a huge challenge to traditional manufacturing systems. In order to meet production requirements for fast iteration and realize agile and efficient manufacturing resource allocation, this paper proposes an ontology-based resource reconfiguration method from the perspective of resource utilization. First, an intelligent device ontology that describes the intelligent manufacturing resource is established using the Web Ontology Language. On this basis, the relational database is associated with the ontology of the manufacturing system, which makes the manufacturing resources be mapped to the model instances. Then, we analyze the equipment reconfiguration of the intelligent manipulator as an application case, which explains the proposed method for resource reconfiguration based on ontology, and verifies its feasibility in manufacturing. Finally, this study provides a new method for reconfigurable research of manufacturing resources.","1941-014X","","10.1109/TMECH.2018.2814784","National Key Research and Development(grant numbers:2017YFE0101000); Natural Science Foundation of Guangdong Province(grant numbers:2017B030311008); Fundamental Research Funds for the Central Universities(grant numbers:x2jqD2170480); Major Projects for Numerical Control Machine(grant numbers:2015ZX04005001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8310925","Intelligent manufacturing;manufacturing cyber-physical systems (MCPS);ontology;resource reconfiguration;semantic web rule language (SWRL)","Manufacturing;Ontologies;Distributed databases;OWL;Job shop scheduling;Cyber-physical systems;Semantics;Intelligent manufacturing systems","","73","","39","IEEE","9 Mar 2018","","","IEEE","IEEE Journals"
"A Survey of Intelligent Network Slicing Management for Industrial IoT: Integrated Approaches for Smart Transportation, Smart Energy, and Smart Factory","Y. Wu; H. -N. Dai; H. Wang; Z. Xiong; S. Guo","College of Engineering, Mathematics and Physical Sciences, University of Exeter, Exeter, U.K.; Department of Computing and Decision Sciences, Lingnan University, Hong Kong; College of Engineering, Mathematics and Physical Sciences, University of Exeter, Exeter, U.K.; Pillar of Information Systems Technology and Design, Singapore University of Technology and Design, Singapore; Department of Computing, The Hong Kong Polytechnic University, Hong Kong","IEEE Communications Surveys & Tutorials","20 May 2022","2022","24","2","1175","1211","Network slicing has been widely agreed as a promising technique to accommodate diverse services for the Industrial Internet of Things (IIoT). Smart transportation, smart energy, and smart factory/manufacturing are the three key services to form the backbone of IIoT. Network slicing management is of paramount importance in the face of IIoT services with diversified requirements. It is important to have a comprehensive survey on intelligent network slicing management to provide guidance for future research in this field. In this paper, we provide a thorough investigation and analysis of network slicing management in its general use cases as well as specific IIoT services including smart transportation, smart energy and smart factory, and highlight the advantages and drawbacks across many existing works/surveys and this current survey in terms of a set of important criteria. In addition, we present an architecture for intelligent network slicing management for IIoT focusing on the above three IIoT services. For each service, we provide a detailed analysis of the application requirements and network slicing architecture, as well as the associated enabling technologies. Further, we present a deep understanding of network slicing orchestration and management for each service, in terms of orchestration architecture, AI-assisted management and operation, edge computing empowered network slicing, reliability, and security. For the presented architecture for intelligent network slicing management and its application in each IIoT service, we identify the corresponding key challenges and open issues that can guide future research. To facilitate the understanding of the implementation, we provide a case study of the intelligent network slicing management for integrated smart transportation, smart energy, and smart factory. Some lessons learnt include: 1) For smart transportation, it is necessary to explicitly identify service function chains (SFCs) for specific applications along with the orchestration of underlying VNFs/PNFs for supporting such SFCs; 2) For smart energy, it is crucial to guarantee both ultra-low latency and extremely high reliability; 3) For smart factory, resource management across heterogeneous network domains is of paramount importance. We hope that this survey is useful for both researchers and engineers on the innovation and deployment of intelligent network slicing management for IIoT.","1553-877X","","10.1109/COMST.2022.3158270","Engineering and Physical Sciences Research Council (EPSRC)(grant numbers:EP/R030863/1); Singapore University of Technology and Design(grant numbers:SRGISTD-2021-165); Hong Kong RGC Research Impact Fund (RIF)(grant numbers:R5060-19); General Research Fund (GRF)(grant numbers:152221/19E,152203/20E,152244/21E); National Natural Science Foundation of China(grant numbers:61872310); Shenzhen Science and Technology Innovation Commission(grant numbers:R2020A045); LEO Dr. David P. Chan Institute of Data Science, Lingnan University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9732420","Network slicing;autonomous vehicle;smart energy;smart factory;orchestration and management","Industrial Internet of Things;Network slicing;Smart manufacturing;Smart transportation;Computer architecture;Intelligent networks;Ultra reliable low latency communication","","67","","224","IEEE","10 Mar 2022","","","IEEE","IEEE Journals"
"A Survey on Industrial Control System Testbeds and Datasets for Security Research","M. Conti; D. Donadel; F. Turrin","Department of Mathematics, University of Padova, Padua, Italy; Department of Mathematics, University of Padova, Padua, Italy; Department of Mathematics, University of Padova, Padua, Italy","IEEE Communications Surveys & Tutorials","19 Nov 2021","2021","23","4","2248","2294","The increasing digitization and interconnection of legacy Industrial Control Systems (ICSs) open new vulnerability surfaces, exposing such systems to malicious attackers. Furthermore, since ICSs are often employed in critical infrastructures (e.g., nuclear plants) and manufacturing companies (e.g., chemical industries), attacks can lead to devastating physical damages. In dealing with this security requirement, the research community focuses on developing new security mechanisms such as Intrusion Detection Systems (IDSs), facilitated by leveraging modern machine learning techniques. However, these algorithms require a testing platform and a considerable amount of data to be trained and tested accurately. To satisfy this prerequisite, Academia, Industry, and Government are increasingly proposing testbed (i.e., scaled-down versions of ICSs or simulations) to test the performances of the IDSs. Furthermore, to enable researchers to cross-validate security systems (e.g., security-by-design concepts or anomaly detectors), several datasets have been collected from testbeds and shared with the community. In this paper, we provide a deep and comprehensive overview of ICSs, presenting the architecture design, the employed devices, and the security protocols implemented. We then collect, compare, and describe testbeds and datasets in the literature, highlighting key challenges and design guidelines to keep in mind in the design phases. Furthermore, we enrich our work by reporting the best performing IDS algorithms tested on every dataset to create a baseline in state of the art for this field. Finally, driven by knowledge accumulated during this survey’s development, we report advice and good practices on the development, the choice, and the utilization of testbeds, datasets, and IDSs.","1553-877X","","10.1109/COMST.2021.3094360","Cariparo Foundation; Yarix S.r.l; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9471765","Cyber-physical systems;industrial control systems;security;intrusion detection systems;dataset;testbed","Integrated circuits;Security;Testing;Protocols;Companies;Tutorials;Trojan horses","","57","","259","IEEE","2 Jul 2021","","","IEEE","IEEE Journals"
"A Holistic Review of Cybersecurity and Reliability Perspectives in Smart Airports","N. Koroniotis; N. Moustafa; F. Schiliro; P. Gauravaram; H. Janicke","Cyber Security Cooperative Research Centre (CSCRC), Perth, WA, Australia; Cyber Security Cooperative Research Centre (CSCRC), Perth, WA, Australia; Cyber Security Cooperative Research Centre (CSCRC), Perth, WA, Australia; Cyber Security Cooperative Research Centre (CSCRC), Perth, WA, Australia; Cyber Security Cooperative Research Centre (CSCRC), Perth, WA, Australia","IEEE Access","1 Dec 2020","2020","8","","209802","209834","Advances in the Internet of Things (IoT) and aviation sector have resulted in the emergence of smart airports. Services and systems powered by the IoT enable smart airports to have enhanced robustness, efficiency and control, governed by real-time monitoring and analytics. Smart sensors control the environmental conditions inside the airport, automate passenger-related actions and support airport security. However, these augmentations and automation introduce security threats to network systems of smart airports. Cyber-attackers demonstrated the susceptibility of IoT systems and networks to Advanced Persistent Threats (APT), due to hardware constraints, software flaws or IoT misconfigurations. With the increasing complexity of attacks, it is imperative to safeguard IoT networks of smart airports and ensure reliability of services, as cyber-attacks can have tremendous consequences such as disrupting networks, cancelling travel, or stealing sensitive information. There is a need to adopt and develop new Artificial Intelligence (AI)-enabled cyber-defence techniques for smart airports, which will address the challenges brought about by the incorporation of IoT systems to the airport business processes, and the constantly evolving nature of contemporary cyber-attacks. In this study, we present a holistic review of existing smart airport applications and services enabled by IoT sensors and systems. Additionally, we investigate several types of cyber defence tools including AI and data mining techniques, and analyse their strengths and weaknesses in the context of smart airports. Furthermore, we provide a classification of smart airport sub-systems based on their purpose and criticality and address cyber threats that can affect the security of smart airport's networks.","2169-3536","","10.1109/ACCESS.2020.3036728","Cyber Security Research Centre Ltd.; Australian Government’s Cooperative Research Centres Programme(grant numbers:RG201120); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9252856","Cyber security;artificial intelligence;smart airport;Industry 4.0;Internet of Things (IoT)","Tools;Airports;Software reliability;Internet of Things;Artificial intelligence;Task analysis;Intelligent sensors","","44","","212","CCBYNCND","9 Nov 2020","","","IEEE","IEEE Journals"
"Reviewing Cyber-Physical System as a Part of Smart Factory in Industry 4.0","D. Sinha; R. Roy","Department of Electronics and Electrical Communication Engineering, Indian Institute of Technology Kharagpur, Kharagpur, India; Department of Electronics and Electrical Communication Engineering, Indian Institute of Technology Kharagpur, Kharagpur, India","IEEE Engineering Management Review","15 Jun 2020","2020","48","2","103","117","Due to the successful application of the Internet of Things (IoT) and the Internet of Services (IoS) in association with other emerging technologies, the fourth industrial revolution is finally achieved through various advancements of cyber-physical systems (CPS). In manufacturing, CPS, in association with the existing enabling technologies, bridges the gap between the manufacturing and information technology (IT) and gives birth to the smart factory that is significantly changing the global market, societal life, and economic growth. This transformation will go far beyond today's conventional industry in terms of adaptability, energy and resource efficiency, accuracy, reliability, safety, user-friendliness, scalability, and intelligence while thoughtfully dealing with the technical challenges allied with the development of CPSs in terms of wireless networking, reliability, complexity, security, and data protection to achieve the desired level of performance. Moreover, a successful industrial revolution paves the way for efficient and thoughtful management operations. This article provides a detailed analysis of CPS in the industrial domain, its required technologies and management skills, architectures, and expected features. This article also highlights a few case studies and discusses their benefits as well as related challenges, along with the possible solutions to them. And, last but not least, an in-depth discussion on the socio-economic impact of CPS-based industrial revolution is presented in this context.","1937-4178","","10.1109/EMR.2020.2992606","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9089269","Cyber-physical production system;industrial cyber-physical system;industrial Internet of Things;Industry 4.0;smart factory","Smart manufacturing;Industries;Production systems;Cloud computing;Production facilities","","41","","52","IEEE","7 May 2020","","","IEEE","IEEE Journals"
