Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Encyclopedia of Digital Agricultural Technologies","","","","","10.1007/978-3-031-24861-0","Qin Zhang","2023","http://link.springer.com/referencework/10.1007/978-3-031-24861-0","ReferenceWork"
"Yearbook of Sustainable Smart Mining and Energy 2021","Yearbook of Sustainable Smart Mining and Energy - Technical, Economic and Legal Framework","","","","10.1007/978-3-030-84315-1","Walter FrenzAxel Preuße","2022","http://link.springer.com/book/10.1007/978-3-030-84315-1","Book"
"Conveyor Belt 4.0","Intelligent Systems in Production Engineering and Maintenance","","","","10.1007/978-3-319-97490-3_61","Leszek JurdziakRyszard BlazejMiroslaw Bajda","2019","http://link.springer.com/chapter/10.1007/978-3-319-97490-3_61","Chapter"
"Advances in Production","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-45021-1","Anna BurdukAndre BatakoJosé MachadoRyszard WyczółkowskiKatarzyna AntoszArkadiusz Gola","2023","http://link.springer.com/book/10.1007/978-3-031-45021-1","Book"
"Service Oriented, Holonic and Multi-agent Manufacturing Systems for Industry of the Future","Studies in Computational Intelligence","","","","10.1007/978-3-030-99108-1","Prof. Theodor BorangiuProf. Damien TrentesauxProf. Paulo LeitãoProf. Olivier CardinProf. Laurent Joblot","2022","http://link.springer.com/book/10.1007/978-3-030-99108-1","Book"
"Springer Handbook of Automation","Springer Handbooks","","","","10.1007/978-3-030-96729-1","Shimon Y. Nof","2023","http://link.springer.com/book/10.1007/978-3-030-96729-1","Book"
"Advances in Manufacturing Processes, Intelligent Methods and Systems in Production Engineering","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-90532-3","Andre BatakoAnna BurdukKanisius KaryonoProf. Dr. Xun ChenRyszard Wyczółkowski","2022","http://link.springer.com/book/10.1007/978-3-030-90532-3","Book"
"Innovations in Bio-Inspired Computing and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-27499-2","Ajith AbrahamAnu BajajNiketa GandhiAna Maria MadureiraCengiz Kahraman","2023","http://link.springer.com/book/10.1007/978-3-031-27499-2","Book"
"XV International Scientific Conference “INTERAGROMASH 2022”","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-21432-5","Alexey BeskopylnyMark ShamtsyanViktor Artiukh","2023","http://link.springer.com/book/10.1007/978-3-031-21432-5","Book"
"Industry 4.0 for SMEs","","","","","10.1007/978-3-030-25425-4","Dominik T. MattVladimír ModrákProf. Dr. Helmut Zsifkovits","2020","http://link.springer.com/book/10.1007/978-3-030-25425-4","Book"
"Springer Handbook of Wood Science and Technology","Springer Handbooks","","","","10.1007/978-3-030-81315-4","Peter NiemzAlfred TeischingerDick Sandberg","2023","http://link.springer.com/book/10.1007/978-3-030-81315-4","Book"
"Recent Advances in Mechanical Engineering","Lecture Notes in Mechanical Engineering","","","","10.1007/978-981-99-1894-2","Anoop Kumar ShuklaBhupendra Prakash SharmaAhmad ArabkoohsarPradeep Kumar","2023","http://link.springer.com/book/10.1007/978-981-99-1894-2","Book"
"Handbook of Smart Materials, Technologies, and Devices","","","","","10.1007/978-3-030-84205-5","Chaudhery Mustansar HussainPaolo Di Sia","2022","http://link.springer.com/referencework/10.1007/978-3-030-84205-5","ReferenceWork"
"Artificial Intelligence Application in Networks and Systems","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-35314-7","Radek SilhavyPetr Silhavy","2023","http://link.springer.com/book/10.1007/978-3-031-35314-7","Book"
"Advanced Analytics in Mining Engineering","","","","","10.1007/978-3-030-91589-6","Dr. Ali Soofastaei","2022","http://link.springer.com/book/10.1007/978-3-030-91589-6","Book"
"Machine Tools Production Systems 3","Lecture Notes in Production Engineering","","","","10.1007/978-3-658-34622-5","Prof. Dr. Christian BrecherManfred Weck","2022","http://link.springer.com/book/10.1007/978-3-658-34622-5","Book"
"Explorations in the History and Heritage of Machines and Mechanisms","History of Mechanism and Machine Science","","","","10.1007/978-3-030-98499-1","Marco CeccarelliRafael López-García","2022","http://link.springer.com/book/10.1007/978-3-030-98499-1","Book"
